year,LandAverageTemperature
1846,8.552750051021576
1847,8.085999975601831
1848,7.979499856630961
1849,7.9844167331854505
1850,7.900666510065396
1851,8.17858338356018
1852,8.10016655921936
1853,8.041833380858103
1854,8.210500051577887
1855,8.110749979813894
1856,7.995916684468587
1857,7.758166680733363
1858,8.100250045458475
1859,8.251999974250793
1860,7.960833420356114
1861,7.846500056485335
1862,7.5585833340883255
1863,8.1118333141009
1864,7.983583301305771
1865,8.177833278973898
1866,8.292166590690613
1867,8.436333298683167
1868,8.247916589180628
1869,8.432083268960318
1870,8.201333343982697
1871,8.115083366632462
1872,8.19383337100347
1873,8.351083278656006
1874,8.433499912420908
1875,7.85958335796992
1876,8.080083350340525
1877,8.539583245913187
1878,8.829750001430511
1879,8.165833353996277
1880,8.118749966224035
1881,8.27091666062673
1882,8.128916601339975
1883,7.97691669066747
1884,7.773666659990947
1885,7.919666747252147
1886,7.954500009616216
1887,7.914916684230168
1888,8.090499917666117
1889,8.318999916315079
1890,7.971666653951009
1891,8.019333293040594
1892,8.06583329041799
1893,8.056749979654947
1894,8.160999993483225
1895,8.1469999452432
1896,8.214916626612345
1897,8.293333321809769
1898,8.178000092506409
1899,8.396333475907644
1900,8.501583317915598
1901,8.541916728019714
1902,8.304416557153067
1903,8.220166563987732
1904,8.09091666340828
1905,8.225166777769724
1906,8.379083355267843
1907,7.947166711091995
1908,8.186083316802979
1909,8.178250054518381
1910,8.222999930381775
1911,8.17699991663297
1912,8.165416657924652
1913,8.297749976317087
1914,8.590499937534332
1915,8.593166708946228
1916,8.225250085194906
1917,8.023333231608072
1918,8.13083322842916
1919,8.382250010967255
1920,8.35874992609024
1921,8.57099997997284
1922,8.40799997250239
1923,8.422166724999746
1924,8.50683331489563
1925,8.534416635831198
1926,8.728833297888437
1927,8.522083361943563
1928,8.632166703542074
1929,8.242416699727377
1930,8.63358328739802
1931,8.719250043233236
1932,8.705250084400177
1933,8.33824998140335
1934,8.62833329041799
1935,8.515749971071878
1936,8.5539999405543
1937,8.698333323001862
1938,8.863666832447052
1939,8.76033349831899
1940,8.764666616916656
1941,8.768666664759317
1942,8.728416701157888
1943,8.755083243052164
1944,8.844999969005585
1945,8.584833343823751
1946,8.676916698614756
1947,8.797083298365274
1948,8.746749818325043
1949,8.586749990781149
1950,8.36525003115336
1951,8.625666677951813
1952,8.638250013192495
1953,8.873750070730845
1954,8.560666561126709
1955,8.62625002861023
1956,8.279583354791006
1957,8.732499957084656
1958,8.773750086625418
1959,8.732666651407877
1960,8.583750009536743
1961,8.797666589419046
1962,8.745916744073233
1963,8.855999986330668
1964,8.409666577974955
1965,8.527416626612345
1966,8.599333345890045
1967,8.700083394845327
1968,8.51633334159851
1969,8.595083485047022
1970,8.700916628042856
1971,8.599249958992004
1972,8.49958328406016
1973,8.94825013478597
1974,8.467499951521555
1975,8.744833290576935
1976,8.347250004609426
1977,8.85025010506312
1978,8.692749977111816
1979,8.733416755994162
1980,8.980333387851715
1981,9.165833294391632
1982,8.639166613419851
1983,9.028166572252909
1984,8.69183337688446
1985,8.657999992370605
1986,8.833583454291025
1987,8.99441663424174
1988,9.20158338546753
1989,8.921999990940094
1990,9.23416668176651
1991,9.179416716098785
1992,8.836583236853281
1993,8.866583347320557
1994,9.038749953111013
1995,9.347083250681559
1996,9.03891654809316
1997,9.202583293120066
1998,9.52266667286555
1999,9.28508327404658
2000,9.201166609923044
2001,9.414583345254263
2002,9.570416688919067
2003,9.525583346684774
2004,9.324583331743876
2005,9.700916608174643
2006,9.532499969005585
2007,9.732166608174643
2008,9.431750059127808
2009,9.505249957243601
2010,9.703083276748657
2011,9.516000032424927
2012,9.50733337799708
2013,9.606499910354614
2014,9.570666571458181
2015,9.830999930699667
